stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1149,1149,Riverside & Glen Garden,Northbound - Near Side,32.709387,-97.303866,,,,,,0
1151,1151,Riverside & Harvey,Northbound - Near Side,32.719583,-97.30425,,,,,,0
1152,1152,Riverside & Richmond,Northbound - Near Side,32.72267,-97.304209,,,,,,0
1162,1162,Seminary & Town Center - Hemphill,Westbound - Mid Block,32.684997,-97.330136,,,,,,0
1163,1163,Hemphill & Mason - Drew,Northbound - Mid Block,32.689428,-97.331617,,,,,,0
1164,1164,Hemphill & Waggoman - Dickson,Northbound - Mid Block,32.693115,-97.331597,,,,,,0
1165,1165,Hemphill & Butler,Northbound - Far Side,32.695805,-97.331593,,,,,,0
1166,1166,Hemphill & Biddison,Northbound - Near Side,32.698555,-97.331575,,,,,,0
1167,1167,Hemphill & Bewick - Shaw,Northbound - Mid Block,32.701217,-97.331485,,,,,,0
1170,1170,Hemphill & Capps,Northbound - Near Side,32.71296,-97.331516,,,,,,0
1171,1171,Hemphill & Page,Northbound - Far Side,32.717006,-97.331492,,,,,,0
1172,1172,Hemphill & Lilac,Northbound - Near Side,32.720325,-97.331489,,,,,,0
1173,1173,Hemphill & Richmond,Northbound - Near Side,32.723831,-97.331468,,,,,,0
1175,1175,Hemphill & Morphy,Northbound - Near Side,32.729163,-97.331468,,,,,,0
1176,1176,Hemphill & Magnolia,Northbound - Near Side,32.730503,-97.33146,,,,,,0
1178,1178,Hemphill & Terrell,Northbound - Near Side,32.735242,-97.331482,,,,,,0
1179,1179,Hemphill & Pennsylvania,Northbound - Near Side,32.738228,-97.331727,,,,,,0
1180,1180,Hemphill & Broadway,Northbound - Far Side,32.741132,-97.331586,,,,,,0
1181,1181,Hemphill & Jarvis - Vickery,Northbound - Mid Block,32.743267,-97.331516,,,,,,0
1182,1182,Main & 6th,Northbound - Near Side,32.766802,-97.339302,,,,,,0
1186,1186,Main & North Side - Central,Northbound - Mid Block,32.776915,-97.346031,,,,,,0
1198,1198,Ephriham & Azle - 26th,Westbound - Mid Block,32.793418,-97.373554,,,,,,0
1199,1199,Ephriham & McGown,Westbound - Near Side,32.791231,-97.376114,,,,,,0
1200,1200,Ephriham & 20th,Westbound - Near Side,32.789024,-97.379033,,,,,,0
